detectTime;midx;midy;x;y;width;height;roll;pitch;yaw;correctureX;correctureY;localX;localY;localXSet;localYSet
72;3;-337;540;40;207;207;-0.0204736;-0.0232718;-0.512119;-0.0189736;-0.191772;-0.0218166;-0.00117828;0;3.09133e-13
72;4;-336;540;40;208;208;-0.0223507;-0.0237708;-0.512796;-0.0203507;-0.191771;-0.0218166;-0.00117828;0;3.09133e-13
73;6;-335;539;38;214;214;-0.0250705;-0.0222941;-0.513051;-0.0220705;-0.189794;-0.0220418;-0.00121893;0;3.09133e-13
72;11;-337;547;39;209;209;-0.0324606;-0.0181847;-0.512323;-0.0269606;-0.186685;-0.0220418;-0.00121893;0;3.09133e-13
-928;16;-339;555;40;202;202;-0.0311995;-0.0125409;-0.514346;-0.0231995;-0.182041;-0.0220418;-0.00121893;0;3.09133e-13
72;15;-333;544;36;222;222;-0.0252488;-0.0126914;-0.524901;-0.0177488;-0.179191;-0.0220418;-0.00121893;0;3.09133e-13
16;25;-279;481;17;368;368;-0.0259128;-0.0192257;-0.528112;-0.0134128;-0.158726;-0.0224469;-0.00112174;0;3.09133e-13
24;26;-210;471;75;390;390;-0.0253364;-0.0424846;-0.526252;-0.0123364;-0.147485;-0.0224469;-0.00112174;0;3.09133e-13
24;10;-212;461;79;378;378;-0.0189857;-0.0218816;-0.524278;-0.0139857;-0.127882;-0.0224469;-0.00112174;0;3.09133e-13
25;-2;-234;453;61;371;371;-0.011799;0.019329;-0.521196;-0.012799;-0.097671;-0.0224469;-0.00112174;0;3.09133e-13
24;-21;-180;427;108;385;385;-0.00599477;0.0100413;-0.518785;-0.0164948;-0.0799587;-0.0227881;-0.00114184;0;3.09133e-13
24;-41;-107;407;181;384;384;0.00106675;0.00189521;-0.520768;-0.0194332;-0.0516048;-0.0227881;-0.00114184;0;3.09133e-13
24;-50;-105;400;185;380;380;0.00632058;0.0312117;-0.52024;-0.0186794;-0.0212883;-0.0227881;-0.00114184;0;3.09133e-13
110;-80;-89;457;288;206;206;0.0119558;0.0364745;-0.504236;-0.0280442;-0.00802546;-0.0227881;-0.00114184;0;3.09133e-13
-975;-89;-40;363;252;377;377;0.0102774;0.0297595;-0.506616;-0.0342226;0.00975949;-0.0227881;-0.00114184;0;3.09133e-13
24;-79;13;375;307;372;372;0.00591672;0.0207847;-0.516921;-0.0335833;0.0272847;-0.0227881;-0.00114184;0;3.09133e-13
25;-55;9;400;304;371;371;-0.0041143;0.0384416;-0.528119;-0.0316143;0.0429416;-0.0227881;-0.00114184;0;3.09133e-13
24;-40;-13;408;275;384;384;-0.0099697;0.0551134;-0.531417;-0.0299697;0.0486134;-0.0227881;-0.00114184;0;3.09133e-13
25;-37;30;416;323;374;374;-0.0156327;0.0384046;-0.531943;-0.0341327;0.0534046;-0.0227881;-0.00114184;0;3.09133e-13
26;-42;83;410;375;376;376;-0.015239;0.0173279;-0.531312;-0.036239;0.058828;-0.0227881;-0.00114184;0;3.09133e-13
24;-46;101;406;393;377;377;-0.0112914;0.0182377;-0.530209;-0.0342914;0.0687377;-0.0227881;-0.00114184;0;3.09133e-13
24;-46;110;402;398;385;385;-0.0103745;0.0176556;-0.526516;-0.0333745;0.0726556;-0.0227881;-0.00114184;0;3.09133e-13
24;-45;133;401;419;389;389;-0.0102024;0.00821139;-0.517884;-0.0327024;0.0747114;-0.0227881;-0.00114184;0;3.09133e-13
24;-43;134;395;412;404;404;-0.00716796;0.0117464;-0.50581;-0.028668;0.0787464;-0.0227881;-0.00114184;0;3.09133e-13
